profile pic,nums/length username,fullname words,nums/length fullname,name==username,description length,external URL,private,#posts,#followers,#follows,Clusters,Anomalies
1,0.27,0,0.0,0,53,0,0,3.4965075614664802,6.90875477931522,6.862757913051401,2,1
1,0.0,2,0.0,0,44,0,0,5.659482215759621,7.916078096302786,6.280395838960195,2,1
1,0.1,2,0.0,0,0,0,1,2.6390573296152584,5.075173815233827,4.59511985013459,0,1
1,0.0,1,0.0,0,82,0,0,6.522092798170152,6.028278520230698,6.480044561926653,1,1
1,0.0,2,0.0,0,0,0,1,1.9459101490553132,5.0238805208462765,4.844187086458591,0,1
1,0.0,4,0.0,0,81,1,0,5.84354441703136,13.415015080758993,5.017279836814924,1,-1
1,0.0,2,0.0,0,50,0,0,2.833213344056216,4.812184355372417,5.181783550292085,2,1
1,0.0,2,0.0,0,0,0,0,3.5263605246161616,6.983789965258135,4.343805421853684,0,1
1,0.0,0,0.0,0,71,0,0,4.290459441148391,7.509335266016592,7.906178840394815,2,-1
1,0.0,2,0.0,0,40,1,0,5.365976015021851,9.468542139105455,6.70196036600254,2,-1
1,0.0,2,0.0,0,54,0,0,6.47543271670409,9.198773735604718,7.068172000388042,2,-1
1,0.0,2,0.0,0,54,1,0,4.343805421853684,7.080867896690782,5.902633333401366,2,1
1,0.0,2,0.0,0,0,1,0,5.700443573390687,6.852242569051878,6.369900982828227,0,1
1,0.0,2,0.0,0,103,1,0,4.770684624465665,9.395491255780296,5.517452896464707,1,-1
1,0.0,2,0.0,0,98,1,0,6.1903154058531475,7.5822291942764615,7.9017475185201445,1,-1
1,0.0,3,0.0,0,46,0,0,5.541263545158426,10.827250299248984,6.803505257608338,2,-1
1,0.0,3,0.0,0,0,0,0,4.0943445622221,8.854807632616227,5.66988092298052,0,-1
1,0.29,3,0.0,0,48,0,0,7.359467638255621,7.029087564149662,6.543911845564792,2,1
1,0.0,2,0.0,0,63,1,0,5.937536205082426,10.453658881643552,7.538494999413465,2,-1
1,0.0,2,0.0,0,106,1,0,6.267200548541362,7.757478766584179,6.655440350367647,1,-1
1,0.0,2,0.0,0,40,0,0,5.43372200355424,8.165363632473982,6.907755278982137,2,1
1,0.0,1,0.0,0,35,1,1,3.58351893845611,7.501082124259871,6.0330862217988015,2,1
